Ano,Mes,Satelite,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2020,1,NOAA-20,2.3333333333333335,1.1111111111111112,0.0,-2.82275,-59.94062888888888,
2020,2,NOAA-20,3.7142857142857144,1.4285714285714286,0.05,-2.657445714285714,-60.03517,
2020,3,NOAA-20,1.5,0.17500000000000002,0.014285714285714287,-2.65762,-59.99390375,
2020,4,NOAA-20,,,,,,
2020,5,NOAA-20,2.3333333333333335,1.7966666666666666,0.01,-2.846496666666667,-60.17247333333333,
2020,6,NOAA-20,1.7777777777777777,1.1444444444444446,0.06000000000000001,-2.9949255555555556,-59.96232111111111,
2020,7,NOAA-20,3.5294117647058822,0.20588235294117646,0.24230769230769234,-2.921677941176471,-59.97620470588235,
2020,8,NOAA-20,4.520833333333333,0.2625,0.3178723404255319,-2.7921329166666666,-59.959686874999996,
2020,9,NOAA-20,1.9166666666666667,1.3611111111111112,0.22633333333333333,-2.8681477777777777,-59.9558625,
2020,10,NOAA-20,1.5,0.5,0.2,-2.750285,-60.120715000000004,
2020,11,NOAA-20,0.8888888888888888,2.411111111111111,0.016666666666666666,-2.7414577777777778,-60.011689999999994,8.333333333333334
2020,12,NOAA-20,0.8333333333333334,4.658333333333333,0.07777777777777778,-2.7820008333333335,-60.000390833333334,3.9749999999999996
2021,1,NOAA-20,1.0,20.45,0.0,-2.8398250000000003,-59.960390000000004,4.8500000000000005
2021,2,NOAA-20,0.0,0.2,0.0,-2.65119,-60.60883,1.2
2021,3,NOAA-20,0.0,1.0,,-3.04051,-60.01955,2.9
2021,4,NOAA-20,0.0,2.7,,-2.95607,-60.01614,0.6
2021,5,NOAA-20,1.125,2.0375,0.0,-3.0644675,-59.8434775,3.3125
2021,6,NOAA-20,1.375,5.2875000000000005,0.0,-3.03402625,-59.901053749999996,0.9750000000000001
2021,7,NOAA-20,1.8148148148148149,1.3703703703703705,0.09047619047619049,-3.012006296296296,-59.75250037037037,4.811111111111111
2021,8,NOAA-20,2.4545454545454546,2.0090909090909093,0.06585365853658537,-2.7577095454545453,-59.89166431818182,12.925
2021,9,NOAA-20,2.1639344262295084,6.352459016393443,0.007547169811320755,-2.9531683606557375,-59.70015803278689,12.778688524590164
2021,10,NOAA-20,1.6181818181818182,1.778181818181818,0.011764705882352943,-2.8251005454545455,-59.85558090909091,10.283636363636363
2021,11,NOAA-20,0.3076923076923077,0.9538461538461539,0.0,-2.6880369230769228,-60.02463769230769,4.3
2021,12,NOAA-20,,,,,,
2022,1,NOAA-20,5.444444444444445,0.0,0.0,-2.6399866666666667,-60.10078888888889,8.166666666666666
2022,2,NOAA-20,1.5,5.0,,-2.98395,-60.026225,3.35
2022,3,NOAA-20,0.5,5.1,0.0,-2.934215,-60.16914,3.2
2022,4,NOAA-20,0.0,11.700000000000001,0.0,-2.918616666666667,-59.98478,1.9000000000000001
2022,5,NOAA-20,0.0,0.9,,-2.95533,-60.01492,1.1
2022,6,NOAA-20,1.0,0.0,0.02,-2.787516,-60.163334,1.3800000000000001
2022,7,NOAA-20,1.7241379310344827,2.1110344827586207,0.04875,-2.8327565625,-59.9532046875,6.8625
2022,8,NOAA-20,-41.18840579710145,1.6553623188405797,0.12836363636363637,-2.918206282051282,-59.837541410256414,7.482051282051282
2022,9,NOAA-20,2.3517241379310345,1.1677931034482758,0.1286231884057971,-2.7757975172413794,-59.974386551724145,10.76551724137931
2022,10,NOAA-20,1.7666666666666666,2.423,0.02962962962962963,-2.7993113333333333,-59.96787666666667,4.9366666666666665
2022,11,NOAA-20,2.1538461538461537,3.8469230769230767,0.05,-2.748027857142857,-59.89046928571429,4.321428571428571
2022,12,NOAA-20,0.0,1.8425,0.01,-2.840164,-60.037012000000004,1.54
2023,1,NOAA-20,,,,,,
2023,2,NOAA-20,1.0,9.1,,-3.1151,-59.9291,1.9
2023,3,NOAA-20,0.0,5.760000000000001,0.0,-2.4788433333333333,-60.048309999999994,3.1666666666666665
2023,4,NOAA-20,1.0,8.715,,-3.11614,-59.927925,0.75
2023,5,NOAA-20,0.0,1.395,0.0,-3.110515,-59.82785,2.075
2023,6,NOAA-20,3.5714285714285716,0.18904761904761905,0.034444444444444444,-2.8611061904761903,-59.98643285714285,4.152380952380953
2023,7,NOAA-20,4.136363636363637,0.5572727272727273,0.21294117647058824,-2.9888881818181816,-59.64305090909091,11.909090909090908
2023,8,NOAA-20,2.425287356321839,2.104942528735632,0.1520253164556962,-2.7227289655172413,-60.03187344827587,6.096551724137931
2023,9,NOAA-20,4.560509554140127,1.6037579617834394,0.4536912751677852,-2.8998336305732484,-59.74421324840764,13.673885350318473
2023,10,NOAA-20,4.252427184466019,1.052718446601942,0.37623762376237624,-2.843888640776699,-59.883697281553395,9.411650485436892
2023,11,NOAA-20,5.48,0.7676000000000001,0.0636,-2.6683312,-59.9827564,4.64
2023,12,NOAA-20,1.0,10.8,0.02,-2.932655,-60.008395,4.5
