ANO;MES;AREA_DESMATADA_KM2
2020;1;0.07072459566081273
2020;2;0.10845490450664809
2020;3;0.377039976123306
2020;4;0.40724527218677803
2020;5;0.959360196050801
2020;6;0.9065798616402393
2020;7;1.5051604238736802
2020;8;1.151379578168588
2020;9;0.6084209635642237
2020;10;0.4656562105673599
2020;11;0.11476960054779206
2020;12;0.030889388134596036
2021;1;0.018233101027826444
2021;2;0.07912419097911716
2021;3;0.1910741867096966
2021;4;0.5397433507332855
2021;5;1.0784288082328748
2021;6;0.6819677616517066
2021;7;1.3423109410263836
2021;8;0.6170629003137441
2021;9;0.7068282526435723
2021;10;0.35358525610958996
2021;11;0.029869926598487008
2021;12;0.01944656679588998
2022;1;0.06268477542729037
2022;2;0.05808024158011412
2022;3;0.15184920656139492
2022;4;0.49723227812622267
2022;5;0.4267441805404779
2022;6;0.5689539891414291
2022;7;0.7024424376829312
2022;8;0.4431254193363511
2022;9;0.4072789081709509
2022;10;0.20409130086487126
2022;11;0.12310314478650022
2022;12;0.02748375966102708
2023;1;0.05504758750560184
2023;2;0.18153067414867408
2023;3;0.49230866099880793
2023;4;0.3471867929334659
2023;5;0.5818300963468707
2023;6;0.4985479141020253
2023;7;0.3449754120867559
2023;8;0.3225456920701262
2023;9;0.33225997221817355
2023;10;0.16395809420606805
2023;11;0.05417883074439436
2023;12;0.047189287711043186
