DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2020/12/02 17:48:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,26.2,0.0,-2.22996,-60.02486,3.1
2020/12/03 17:24:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,3.1,0.0,-2.8814,-59.86692,4.8
2020/12/03 17:24:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,6.5,0.0,-2.78643,-59.95696,4.5
2020/12/04 17:06:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.9,0.0,-2.82658,-59.98526,5.3
2020/12/05 16:48:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,0.0,0.0,-2.31459,-60.27633,4.1
2020/12/06 18:12:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,1.5,0.1,-2.80169,-59.87727,8.2
2020/12/06 18:12:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,1.5,0.1,-2.80259,-59.88264,9.0
2020/12/12 05:18:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.0,-999.0,-2.95328,-60.01427,0.6
2020/12/12 18:00:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.0,0.2,-2.9407,-60.04391,2.9
2020/12/12 18:00:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.0,0.3,-2.94028,-60.04614,3.7
2020/12/18 05:06:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,5.9,-999.0,-2.95339,-60.01509,0.7
2020/11/03 16:48:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,0.0,0.0,-2.17113,-60.08945,2.3
2020/11/02 17:06:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,0.0,0.1,-3.10279,-59.4494,53.0
2020/05/25 04:48:23,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,1.09,0.01,-2.54126,-60.17657,
2020/08/26 16:36:32,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,13,0.0,0.46,-3.0317,-59.67163,
2020/08/26 16:36:32,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,12,0.0,0.44,-3.05569,-59.65863,
2020/08/26 16:36:32,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,12,0.0,0.44,-3.05626,-59.66254,
2020/09/08 17:32:17,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,6,0.0,0.59,-3.11913,-59.47799,
2020/12/23 05:12:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,10.3,-999.0,-2.95312,-60.01504,0.8
2020/01/04 16:39:45,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,3.3,0.0,-2.92974,-60.17879,
2020/06/21 17:13:51,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.4,0.0,-3.14378,-59.3588,
2020/06/21 17:13:51,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,0.1,0.1,-2.87268,-60.19364,
2020/06/22 16:55:12,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,0.1,0.1,-2.93044,-60.07847,
2020/06/22 16:55:12,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,0.3,0.1,-3.05966,-59.66056,
2020/06/25 05:06:36,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,0.2,-999.0,-3.11566,-59.92913,
2020/06/30 05:13:01,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,1.3,-999.0,-2.95607,-60.01423,
2020/07/09 16:36:52,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,0.6,0.1,-3.13009,-59.3611,
2020/07/12 17:20:10,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.5,0.0,-2.7714,-60.56625,
2020/07/12 17:20:10,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,0.3,0.1,-3.0551,-59.66292,
2020/07/13 17:01:26,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.6,0.1,-3.07508,-59.43869,
2020/07/14 16:42:56,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,0.2,0.2,-3.11408,-59.42602,
2020/07/15 18:04:37,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,5,0.4,0.2,-3.10171,-59.3658,
2020/07/15 05:31:37,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.7,-999.0,-3.11718,-59.92893,
2020/07/16 17:45:17,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,0.0,0.1,-2.23104,-60.07181,
2020/07/17 17:26:14,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.0,0.2,-2.92621,-60.07651,
2020/07/17 17:26:14,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,0.6,-999.0,-3.11668,-59.92857,
2020/07/17 17:26:14,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2,0.6,-999.0,-3.1192,-59.92878,
2020/07/19 16:49:07,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.0,0.2,-2.94359,-60.1663,
2020/07/19 16:49:07,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.0,0.2,-2.94589,-60.16428,
2020/07/21 17:51:33,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,1.1,0.2,-3.02694,-60.15598,
2020/07/22 17:32:47,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.8,0.2,-3.08733,-59.42381,
2020/07/25 16:36:52,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,0.1,0.2,-2.58713,-59.9842,
2020/07/27 17:39:16,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.0,0.3,-2.86773,-59.89416,
2020/07/27 17:39:16,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.0,0.3,-2.86835,-59.8981,
2020/07/27 17:39:16,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.0,0.2,-2.73597,-60.24389,
2020/07/27 17:39:16,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.0,0.3,-2.65258,-60.01168,
2020/07/27 05:06:27,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.0,-999.0,-2.95435,-60.01579,
2020/07/28 17:20:17,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,0.2,-999.0,-2.63379,-60.66211,
2020/07/28 17:20:17,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,0.1,0.3,-3.01342,-60.16735,
2020/07/29 17:01:16,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,0.0,-999.0,-3.10015,-59.55391,
2020/07/29 17:01:16,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,0.0,-999.0,-3.10083,-59.55331,
2020/07/29 17:01:16,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,0.0,0.4,-2.90626,-60.2396,
2020/07/30 16:42:33,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,6,0.0,0.4,-2.98456,-60.19403,
