DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/02/14 05:33:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,9.1,-999.0,-3.1151,-59.9291,1.9
2023/03/14 17:49:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,8.55,0.0,-2.24092,-60.06236,4.6
2023/03/14 17:49:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,8.73,0.0,-2.24153,-60.06622,4.4
2023/03/19 05:16:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.0,-999.0,-2.95408,-60.01635,0.5
2023/04/19 05:36:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,4.63,-999.0,-3.11642,-59.92759,0.5
2023/04/20 05:16:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,12.8,-999.0,-3.11586,-59.92826,1.0
2023/05/22 05:16:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.2,-999.0,-3.11824,-59.92867,0.6
2023/05/22 05:16:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.2,-999.0,-3.11484,-59.92812,0.4
2023/05/26 05:42:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,2.18,0.0,-3.09841,-59.92766,1.6
2023/06/02 05:10:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,0.2,-999.0,-3.1178,-59.92874,2.0
2023/06/12 05:23:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.1,-999.0,-3.11602,-59.92822,0.8
2023/06/17 05:29:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,0.0,-999.0,-2.95576,-60.0144,0.7
2023/06/22 05:36:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1,0.1,-999.0,-3.11658,-59.9273,2.0
2023/06/22 05:36:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.0,-999.0,-2.95576,-60.01395,0.6
2023/06/23 05:16:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,4,0.0,-999.0,-2.95589,-60.01472,0.5
2023/06/24 17:39:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.0,0.01,-2.22009,-60.12377,2.9
2023/06/24 17:39:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.0,0.01,-2.22132,-60.12325,2.1
2023/06/24 17:39:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,8,0.1,-999.0,-3.10179,-59.54766,7.5
2023/06/25 17:17:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,5,0.0,0.02,-2.85466,-60.19492,2.2
2023/06/27 05:42:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.33,-999.0,-3.11828,-59.92789,2.2
2023/06/28 05:23:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,3,0.2,-999.0,-2.95591,-60.01476,0.6
2023/07/07 16:54:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.0,0.02,-3.04327,-59.67492,4.7
2023/07/07 16:54:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0,0.0,0.02,-3.05718,-59.66397,2.8
