time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1
2021-02-01T00:00:00Z,17.843,72.517,868.709,68.987,101.69300000000001
2021-05-01T00:00:00Z,52.764,89.68,1004.058,20.43,21.554000000000002
2021-06-01T00:00:00Z,58.799,88.14,1006.741,11.357,11.8575
2021-07-01T00:00:00Z,55.191,88.439,1007.537,14.5015,14.985
2021-08-01T00:00:00Z,52.416,90.531,1005.715,21.612000000000002,23.085
2021-09-01T00:00:00Z,52.046,91.51,1005.294,15.2805,15.702
2022-08-01T00:00:00Z,50.577,92.693,1004.889,28.433999999999997,33.4555
2022-09-01T00:00:00Z,50.371,92.787,1004.506,34.5445,43.5065
2023-09-01T00:00:00Z,46.105,96.58,1002.181,37.609,46.448499999999996
2023-10-01T00:00:00Z,45.356,96.402,1001.448,42.680499999999995,55.578500000000005
2023-11-01T00:00:00Z,48.789,95.307,1001.994,53.1725,73.50200000000001
