ANO,MES,AREA_DESMATADA_KM2
2022,1,0.06268477542729037
2022,2,0.05808024158011412
2022,3,0.15184920656139492
2022,4,0.49723227812622267
2022,5,0.4267441805404779
2022,6,0.5689539891414291
2022,7,0.7024424376829312
2022,8,0.4431254193363511
2022,9,0.4072789081709509
2022,10,0.20409130086487126
2022,11,0.12310314478650022
2022,12,0.02748375966102708
