year;areakm;municipality;geocode_ibge;state
2013;0,07306985143116806;Apuí;1300144;Amazonas
2014;0;Apuí;1300144;Amazonas
2015;0;Apuí;1300144;Amazonas
2016;0;Apuí;1300144;Amazonas
2017;0,018047466845961813;Apuí;1300144;Amazonas
2018;0,018047466845961813;Apuí;1300144;Amazonas
2019;0,04952875600224402;Apuí;1300144;Amazonas
2020;0,3544249085385369;Apuí;1300144;Amazonas
2021;0,034384330533213506;Apuí;1300144;Amazonas
2022;0,5885143871119828;Apuí;1300144;Amazonas
2023;0,3355027151761595;Apuí;1300144;Amazonas
2000;0;Atalaia do Norte;1300201;Amazonas
2001;0;Atalaia do Norte;1300201;Amazonas
2002;0;Atalaia do Norte;1300201;Amazonas
2003;0,03269376207046826;Atalaia do Norte;1300201;Amazonas
2004;0,03269376207046826;Atalaia do Norte;1300201;Amazonas
2005;0;Atalaia do Norte;1300201;Amazonas
2006;0;Atalaia do Norte;1300201;Amazonas
2007;0;Atalaia do Norte;1300201;Amazonas
2008;0;Atalaia do Norte;1300201;Amazonas
2009;0;Atalaia do Norte;1300201;Amazonas
2010;0;Atalaia do Norte;1300201;Amazonas
2011;0;Atalaia do Norte;1300201;Amazonas
2012;0;Atalaia do Norte;1300201;Amazonas
2013;0;Atalaia do Norte;1300201;Amazonas
2014;0;Atalaia do Norte;1300201;Amazonas
2015;0;Atalaia do Norte;1300201;Amazonas
2016;0;Atalaia do Norte;1300201;Amazonas
2017;0;Atalaia do Norte;1300201;Amazonas
2018;0;Atalaia do Norte;1300201;Amazonas
2019;0;Atalaia do Norte;1300201;Amazonas
2020;0;Atalaia do Norte;1300201;Amazonas
2021;0;Atalaia do Norte;1300201;Amazonas
2022;0;Atalaia do Norte;1300201;Amazonas
2023;0;Atalaia do Norte;1300201;Amazonas
2000;73,11851067131882;Autazes;1300300;Amazonas
2001;8,886164978870253;Autazes;1300300;Amazonas
2002;8,886164978870253;Autazes;1300300;Amazonas
2003;2,3986283185765744;Autazes;1300300;Amazonas
2004;2,3986283185765744;Autazes;1300300;Amazonas
2005;6,377909055618167;Autazes;1300300;Amazonas
2006;6,377909055618167;Autazes;1300300;Amazonas
2007;1,3022505502482562;Autazes;1300300;Amazonas
2008;1,3022505502482562;Autazes;1300300;Amazonas
2009;1,6984829041736196;Autazes;1300300;Amazonas
2010;1,6984829041736196;Autazes;1300300;Amazonas
2011;0,7725452105286521;Autazes;1300300;Amazonas
2012;0,7725452105286521;Autazes;1300300;Amazonas
2013;0,7725452105286521;Autazes;1300300;Amazonas
2014;0,319607604685536;Autazes;1300300;Amazonas
2015;1,0949374625219679;Autazes;1300300;Amazonas
2016;1,0949374625219679;Autazes;1300300;Amazonas
2017;1,533272151656819;Autazes;1300300;Amazonas
2018;1,533272151656819;Autazes;1300300;Amazonas
2019;1,5274160107852732;Autazes;1300300;Amazonas
2020;1,9799903594270607;Autazes;1300300;Amazonas
2021;3,197303168481569;Autazes;1300300;Amazonas
2022;2,3200820251037975;Autazes;1300300;Amazonas
2023;1,096105108468394;Autazes;1300300;Amazonas
2000;0,6872812397436812;Barcelos;1300409;Amazonas
2001;0,07159389384031506;Barcelos;1300409;Amazonas
2002;0,07159389384031506;Barcelos;1300409;Amazonas
2003;0,2931640142765756;Barcelos;1300409;Amazonas
2004;0,2931640142765756;Barcelos;1300409;Amazonas
2005;0,10684525192188173;Barcelos;1300409;Amazonas
2006;0,10684525192188173;Barcelos;1300409;Amazonas
2007;0,028133503457391178;Barcelos;1300409;Amazonas
2008;0,028133503457391178;Barcelos;1300409;Amazonas
2009;0,18228890354430577;Barcelos;1300409;Amazonas
2010;0,18228890354430577;Barcelos;1300409;Amazonas
2011;0,04132234281025974;Barcelos;1300409;Amazonas
2012;0,04132234281025974;Barcelos;1300409;Amazonas
2013;0,04132234281025974;Barcelos;1300409;Amazonas
2014;0,07869919404478384;Barcelos;1300409;Amazonas
2015;0,022882352570877545;Barcelos;1300409;Amazonas
2016;0,022882352570877545;Barcelos;1300409;Amazonas
