year,month,municipality,deaths,DiaSemChuva,Precipitacao,RiscoFogo,FRP,area_desmatada_km2
2020,1,ITACOATIARA,2.0,4.0,0.5,0.0,22.5,"2,2086947352253348"
2020,1,ITACOATIARA,2.0,4.0,0.5,0.0,33.9,"2,2086947352253348"
2020,1,ITACOATIARA,2.0,4.0,0.5,0.0,88.0,"2,2086947352253348"
2020,1,ITACOATIARA,2.0,3.0,0.2,0.0,14.9,"2,2086947352253348"
2020,1,ITAMARATI,0.0,,,,,0
2020,1,ITAPIRANGA,0.0,,,,,"1,213748555463989"
2020,1,JURUA,0.0,,,,,0
2020,1,JUTAI,1.0,,,,,0
2020,1,LABREA,3.0,,,,,"0,36857392801492594"
2020,1,MANACAPURU,9.0,4.0,0.0,0.0,66.8,"1,1128868616586303"
2020,1,MANACAPURU,9.0,2.0,0.2,0.0,18.7,"1,1128868616586303"
2020,1,MANACAPURU,9.0,2.0,0.2,0.0,14.8,"1,1128868616586303"
2020,1,MANACAPURU,9.0,4.0,0.0,0.0,64.6,"1,1128868616586303"
2020,1,MANACAPURU,9.0,3.0,0.0,0.0,7.6,"1,1128868616586303"
2020,1,MANAQUIRI,0.0,3.0,0.0,0.0,13.8,"1,1256339185531616"
2020,1,MANAQUIRI,0.0,3.0,0.0,0.0,17.0,"1,1256339185531616"
2020,1,MANAUS,70.0,0.0,1.1,0.0,11.9,"0,050410258663199745"
2020,1,MANAUS,70.0,6.0,0.0,0.0,17.2,"0,050410258663199745"
2020,1,MANAUS,70.0,6.0,0.0,0.0,18.3,"0,050410258663199745"
2020,1,MANAUS,70.0,2.0,0.9,0.0,10.2,"0,050410258663199745"
2020,1,MANAUS,70.0,4.0,0.3,0.0,27.7,"0,050410258663199745"
2020,1,MANAUS,70.0,5.0,0.0,0.0,23.4,"0,050410258663199745"
2020,1,MANAUS,70.0,5.0,0.0,0.0,23.6,"0,050410258663199745"
2020,1,MANAUS,70.0,5.0,0.0,0.0,31.2,"0,050410258663199745"
2020,1,MANICORE,1.0,,,,,"0,5038019213676104"
2020,1,MARAA,2.0,,,,,0
2020,1,MAUES,2.0,,,,,"3,2169504512333185"
2020,1,NHAMUNDA,1.0,,,,,"2,2321232623669918"
2020,1,NOVA OLINDA DO NORTE,1.0,3.0,0.0,0.0,10.6,"0,6646369482127781"
2020,1,NOVA OLINDA DO NORTE,1.0,4.0,0.1,0.0,13.2,"0,6646369482127781"
2020,1,NOVO AIRAO,0.0,,,,,0
2020,1,NOVO ARIPUANA,0.0,,,,,"0,03282936335335154"
2020,1,PARINTINS,3.0,2.0,0.2,0.0,9.4,"2,9784428355101946"
2020,1,PARINTINS,3.0,2.0,0.2,0.0,48.4,"2,9784428355101946"
2020,1,PARINTINS,3.0,3.0,0.4,0.0,12.4,"2,9784428355101946"
2020,1,PARINTINS,3.0,3.0,0.2,0.0,10.3,"2,9784428355101946"
2020,1,PARINTINS,3.0,2.0,0.2,0.0,17.8,"2,9784428355101946"
2020,1,PAUINI,0.0,,,,,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,5.0,0.0,0.0,16.0,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,6.0,0.0,0.1,11.5,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,6.0,0.0,0.1,20.4,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,5.0,0.0,0.1,15.1,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,4.0,0.0,0.0,16.2,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,4.0,0.0,0.0,14.6,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,4.0,0.0,0.0,9.3,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,2.0,0.2,0.0,21.0,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,4.0,0.0,0.0,8.0,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,4.0,0.0,0.2,12.2,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,3.0,0.2,0.0,6.6,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,5.0,0.0,0.0,16.9,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,5.0,0.0,0.0,74.0,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,6.0,0.0,0.0,20.6,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,6.0,0.0,0.1,16.0,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,6.0,0.0,0.1,14.9,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,6.0,0.0,0.1,16.0,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,2.0,3.1,0.3,12.6,0
2020,1,PRESIDENTE FIGUEIREDO,2.0,0.0,5.6,0.0,8.6,0
